index,code,token,lstm_surp,mean_rt,entropy,entred,rt_spill_over,rt_spill_over_inc_unk,ngram_surp,gru_surp,tanh_surp,count,log_freq,len
4429,24525,explosion,14.312392234802246,344.9305263157895,11.256182670593262,0.0,320.47526315789474,320.47526315789474,16.9962,19.05598831176757,16.87984848022461,9,0.9542425094393249,9
777,24526,of,1.787925124168396,320.47526315789474,4.792867660522461,6.463315010070801,271.62368421052633,271.62368421052633,4.77074,13.076851844787598,5.1755690574646,22921,4.360233561157832,2
181,24527,the,2.172329425811768,271.62368421052633,9.139327049255373,0.0,326.41473684210524,326.41473684210524,3.44768,7.145410060882568,4.269806385040283,41100,4.613841821876069,3
4430,24528,island,12.869874954223633,326.41473684210524,11.287881851196287,0.0,273.06105263157895,273.06105263157895,12.4541,17.250627517700195,16.45458984375,12,1.0791812460476249,6
778,24529,of,3.829836845397949,273.06105263157895,5.11810302734375,6.169778823852539,,741.4805263157895,3.11996,13.248308181762695,5.1755690574646,22921,4.360233561157832,2
1278,24531,in,5.566460132598877,419.2789473684211,8.849605560302734,0.3863382339477539,,524.3868421052632,6.16281,1.5695452690124512,5.850780963897705,15175,4.181128699747295,2
2970,24533,it,10.33505630493164,482.8005263157895,6.995448112487793,0.931081771850586,,416.5894736842105,9.98576,4.340805530548096,7.629871368408203,4656,3.668012971641832,2
4432,24535,across,11.547630310058594,369.6952631578947,6.166216373443604,0.9905424118041992,289.3142105263158,289.3142105263158,11.8486,26.28770446777344,13.624691009521484,77,1.8864907251724818,6
182,24536,the,1.3348548412322998,289.3142105263158,6.064774036407471,0.1014423370361328,355.0436842105263,355.0436842105263,0.506734,6.973775863647461,4.269806385040283,41100,4.613841821876069,3
4438,24537,Pacific,11.877497673034668,355.0436842105263,10.012738227844238,0.0,260.2394736842105,260.2394736842105,12.1623,47.02362823486328,47.51016616821289,145,2.161368002234975,7
3013,24538,at,11.222173690795898,260.2394736842105,9.646353721618652,0.3663845062255859,348.1805263157895,348.1805263157895,8.77611,13.79669189453125,7.710198879241943,4359,3.639386869017684,2
4439,24539,300,11.706316947937012,348.1805263157895,6.976817607879639,2.6695361137390137,321.74157894736845,321.74157894736845,13.5132,25.91384506225586,13.70065689086914,81,1.9084850188786497,3
4441,24540,miles,7.489229202270508,321.74157894736845,9.67993450164795,0.0,281.3047368421053,281.3047368421053,5.50589,44.05812072753906,14.199336051940918,71,1.8512583487190752,5
